NCGC00254346-01,CC(C)=CCC\C(C)=C/CO
NCGC00254668-01,FC1=CC=CC(F)=C1C(=O)NC(=O)NC2=C(F)C=C(OC3=C(Cl)C=C(C=C3)C(F)(F)F)C=C2
NCGC00015646-05,Cl.CC1=CNN=C1
NCGC00255698-01,CC1(C)[C@H](C=C(Cl)Cl)[C@@H]1C(=O)O[C@@H](C#N)C2=CC=CC(OC3=CC=CC=C3)=C2
NCGC00160628-03,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C3=O)C(O)=CC(O)=C4)C5=CC(O)=C(O)C=C5)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
NCGC00255567-01,CCCCCCOC1=C(C=CC=C1)C(O)=O
NCGC00262943-01,OCCNCCO.CC(OC(=O)C1(C)CCC(C(O)=O)C1(C)C)C2=CC=C(C)C=C2
NCGC00256129-01,CCCCOC(=O)CCCCCCCC(=O)OCCCC
NCGC00016666-06,Br.COC1=C2CN(C)CCC2=CC3=C1OCO3
NCGC00258280-01,NC1=NC=CS1
NCGC00257461-01,CC(C)(C1=CC(Cl)=C(O)C(Cl)=C1)C2=CC(Cl)=C(O)C(Cl)=C2
NCGC00167466-02,ClCCN(N=O)C(=O)NC1CCCCC1
NCGC00258891-01,CCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O
NCGC00273564-01,NC1=NC(=O)C(Br)=C(N1)C2=CC=CC=C2
NCGC00257981-01,CCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCC
NCGC00015387-06,NC1=CC(=O)N=C(N)N1
NCGC00253690-01,CN(C)CCN1CCN(C1=O)C2=CC(Cl)=CC=C2
NCGC00254738-01,COC(=O)CSC1=C(Cl)C=C(F)C(=C1)\N=C2/SC(=O)N3CCCCN23
NCGC00256549-01,COC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl
NCGC00160472-02,CNCC(=O)C1=CC=C(O)C(O)=C1
NCGC00257562-01,O=C1CCCC=C1
NCGC00258653-01,OCC(Br)=C(Br)CO
NCGC00255300-01,[Na+].CNC([S-])=S
NCGC00023217-08,O.[Na+].CC1=C(Cl)C(NC2=C(C=CC=C2)C([O-])=O)=C(Cl)C=C1
NCGC00247735-02,Cl.C1C2CNCC1C3=CC4=C(C=C23)N=CC=N4
NCGC00344523-01,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO
NCGC00259315-01,CCNC1=CC=CC=C1
NCGC00253670-01,[H][C@]12[C@@H](C)C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O
NCGC00258524-01,C1COCCO1
NCGC00260185-01,[O-]S(=O)(=O)C(F)(F)F.CCN1C=C[N+](C)=C1C
NCGC00259609-01,C1=CC2=C(C=C1)C=C3C(C=CC4=C3C=CC=C4)=C2
NCGC00253978-01,C1OC1C2=CC=CC=C2
NCGC00065440-03,Cl.CCN(CC)CC(=O)NC1=C(C)C=C(C)C=C1C
NCGC00259809-01,CC(CCO)CC(C)(C)C
NCGC00258718-01,CC1=NC(N)=NC(N)=N1
NCGC00260403-01,CCC1=CC(C)=CC=C1
NCGC00254929-01,CC(=O)OCCC1=CC=CC=C1
NCGC00257150-01,OC(=O)CCCCCCCCC(O)=O
NCGC00258640-01,C=CC(=O)OCCOCCOC(=O)C=C
NCGC00166222-04,Cl.Cl.C(CNCC1=CC=CC=C1)NCC2=CC=CC=C2
NCGC00254242-01,CCCC[Sn](Cl)(CCCC)CCCC
NCGC00259239-01,[Cl-].CCCCN1C=C[N+](C)=C1
NCGC00142615-08,CNC[C@H](O)C1=CC=C(O)C(O)=C1
NCGC00253617-01,OC(=O)C1=CN=C(O)C=C1
NCGC00257837-01,OCCN(CCO)N=O
NCGC00256267-01,CC(=O)NC1=CC=C(C)C=C1C
NCGC00256704-01,CC1CCC2=C1N=CC=N2
NCGC00188429-02,OC(=O)C(=O)NC1=CC=CC(=C1)C2=NN=NN2
NCGC00263525-01,[Na+].CC(C)N1C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(C2=C1C=CC=C2)C3=CC=C(F)C=C3
NCGC00015970-11,[H]\C(=C1/C(C)=C(CC(O)=O)C2=C1C=CC(F)=C2)C3=CC=C(C=C3)S(C)=O
NCGC00256041-01,N=C1NC(=N)C2=C1C=CC=C2
NCGC00260249-01,[O-]S(=O)(=O)C(F)(F)F.CCCCCC[N+]1=CC=CC=C1
NCGC00258543-01,COC(=O)C1=CC=C(C=C1)C(O)=O
NCGC00259791-01,C1CNCCN1
NCGC00183842-01,CC(C)(C)NC[C@H](O)C1=CC=C(O)C=C1Cl
NCGC00018204-13,[H][C@]12N3CCC[C@@]1(CC)C=C(N4C5=C(C=CC=C5)C(CC3)=C24)C(=O)OCC
NCGC00257918-01,BrC(Br)C(Br)Br
NCGC00254162-01,CCCCCCCCCCCCCO
NCGC00259669-01,OC1=CC=CC2=CC=CC=C12
NCGC00181124-02,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@H]34)[C@@H]2C1
NCGC00259136-01,[Cl-].C[N+](C)(C)CC1=CC=CC=C1
NCGC00183010-01,CC(C(O)=O)C1=CC=C(\C=C2/CCCCC2=O)C=C1
NCGC00256773-01,CCCC1=CC(OC)=C(O)C=C1
NCGC00091073-07,CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C
NCGC00255031-01,[Na+].CCCOC1=NN(C(=O)[N-]S(=O)(=O)C2=C(C=CC=C2)C(=O)OC)C(=O)N1C
NCGC00319022-01,COC(=O)CCCCC(CCSS\C(CCO)=C(/C)N(CC1=C(N)N=C(C)N=C1)C=O)SC(C)=O
NCGC00259420-01,CC1=C(Cl)C=C(N)C=C1
NCGC00015429-14,NC(=O)OCC(COC(N)=O)C1=CC=CC=C1
NCGC00254737-01,CCOP(=S)(OCC)OC1=NN(C(C)C)C(Cl)=N1
NCGC00257722-01,ClC1=CC(Cl)=C(OC2=CC=C(OC3=NC=C(Cl)C=C3Cl)C=C2)N=C1
NCGC00257732-01,COC(=O)CCCCCCCCC(=O)OC
NCGC00260035-01,Cl.NC1=CC=C(\N=N/C2=CC=CC=C2)C(N)=C1
NCGC00256130-01,CN(C)CCCNCCCN(C)C
NCGC00256931-01,CC(C)(C)C1CCC(O)CC1
NCGC00257745-01,CN(C)C1=CC=C(N)C=C1
NCGC00256716-01,CC(C)C1CCC(O)CC1
NCGC00254139-01,ClCCOP(=O)(OCCCl)OCCCl
NCGC00016069-13,BrC1=C2N=CC=NC2=CC=C1NC3=NCCN3
NCGC00254130-01,[Na+].CCOC1=CC(=CC=C1)N2C=C(N=C2C3=CC=C(C)C=C3)C(=O)N4CCN(CC4)C5=CC6=CC=CC=C6C(=C5)C([O-])=O
NCGC00253703-01,ClCCN1C(=O)NC2=C(C=CC=C2)C1=O
NCGC00164128-02,CCCCCCCCCCCCCCCC(=O)OC(C)C
NCGC00255768-01,NC1=CC(=CC(N)=C1)C(O)=O
NCGC00254859-01,CS(C)=O
NCGC00255084-01,CCCCOP(O)(=O)OCCCC
NCGC00166203-02,ClC1=C(Cl)C2(Cl)C(CBr)CC1(Cl)C2(Cl)Cl
NCGC00254542-01,OCCN(CCO)CCO.CCCCCCCCCC(CC)C1=CC=C(C=C1)S(O)(=O)=O
NCGC00254816-01,CN=C=S
NCGC00255012-01,CCOC1OC2=C(C=C(OS(C)(=O)=O)C=C2)C1(C)C
NCGC00257894-01,[O-][N+](=O)C1=C(C=CC=C1)C(Cl)=O
NCGC00256761-01,CC(C)(C)C(=O)\C=C\C1=CC=C(Cl)C=C1
NCGC00256292-01,Cl.CN1[C@H]2C[C@@H](C[C@@H]1[C@H]3O[C@@H]23)OC(=O)[C@H](CO)C4=CC=CC=C4
NCGC00185747-02,O=C(OCC(COC(=O)C1=CC=CN=C1)(COC(=O)C2=CC=CN=C2)COC(=O)C3=CC=CN=C3)C4=CC=CN=C4
NCGC00015675-11,CC1=C(C=C(C#N)C(=O)N1)C2=CC=NC=C2
NCGC00254882-01,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
NCGC00183108-01,NC(=N)C1=CC=C(OCCCOC2=CC=C(C=C2)C(N)=N)C=C1
NCGC00253657-01,COC1=CC(=CC(C(O)=O)=C1OC)S(N)(=O)=O
NCGC00256686-01,COC1=CC(C)=CC(O)=C1
NCGC00258803-01,CC1=C(Cl)C=CC=C1
NCGC00259432-01,NC1CCCCC1N
NCGC00257536-01,CC(=O)NC1=C(O)C=CC=C1
NCGC00257498-01,CS(=O)(=O)C1=CC=C(C=C1Cl)[C@@H](CC2CCCC2)C(=O)NC3=NC=CN=C3
NCGC00015208-19,OC(=O)CC(O)(CC(O)=O)C(O)=O.CN1C=NC2=C1C(=O)N(C)C(=O)N2C
NCGC00255665-01,CCC(C)(C)O
NCGC00090773-04,CCCCC(CC)COC(=O)C1=CC=CC=C1C(O)=O
NCGC00015966-10,CCN1CCC[C@H]1CNC(=O)C2=C(OC)C=CC(=C2)S(N)(=O)=O
NCGC00258040-01,Cl.CCN1C2=CC=CC=C2C3=C1C=CC(N)=C3
NCGC00259299-01,[O-][N+](=O)C1=CC=CC=C1
NCGC00261984-01,FC1=C(C=CC=C1)C2=CC=C(C=C2)C#C
NCGC00259915-01,CCCCOCNC(=O)C=C
NCGC00256477-01,CCOC(=O)N(C)N=O
NCGC00253680-01,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2N)C(O)=O
NCGC00094525-09,CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1
NCGC00257212-01,C(COC1=CC=CC=C1)OC2=CC=CC=C2
NCGC00255385-01,OC(=O)C1=C(N=C2C=CC=CC2=C1)C(O)=O
NCGC00255848-01,CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I
NCGC00256587-01,CC(=O)NC1=CC=C2C(CC3=C2C=CC(NC(C)=O)=C3)=C1
NCGC00259923-01,CC(C)(C)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
